,Epoch,Learning Rate,Train Loss,Valid Loss,Train Acc.,Valid Acc.,Unnamed: 6,Train Loss Std,Valid Loss Std,Train Acc. Std,Valid Acc. Std
0,0.0,0.001,0.21424600000000002,0.12903966666666666,93.55444433333332,96.08333333333333,,0.0023105417113741893,0.011597032565847761,0.09315919270438515,0.35557465226494434
1,1.0,0.001,0.11478233333333332,0.10815433333333334,96.623889,96.83999999999999,,0.0008049312600050555,0.01359779439222896,0.03275869124369403,0.18520259177452475
2,2.0,0.001,0.08952266666666668,0.097595,97.295,97.11333333333334,,0.0023835419722197785,0.002604695951545982,0.05732494124724867,0.16772994167212105
3,3.0,0.001,0.07571466666666667,0.10294266666666667,97.69555566666668,97.03666666666668,,0.00045480142186819707,0.02427590789925958,0.07091301139659309,0.6450064599159733
4,4.0,0.001,0.06740266666666667,0.10182833333333334,97.97444433333332,97.03666666666665,,0.0009424061403308778,0.003107287294946069,0.004194197936829473,0.1504437879519555
5,5.0,0.001,0.06194033333333334,0.08719566666666667,98.12888866666667,97.52,,0.0018398125810346394,0.0038108471936477975,0.0729216791930439,0.22869193252058156
6,6.0,0.001,0.057502000000000004,0.09988400000000001,98.24833333333333,97.25999999999999,,0.001434075660486572,0.0069148035402316396,0.04206456017044599,0.0888819441731582
7,7.0,0.001,0.053584999999999994,0.094514,98.31166666666665,97.54,,0.0007838086501181304,0.01040917619218736,0.059325182025288775,0.2330236039546218
8,8.0,0.001,0.051577333333333336,0.109485,98.375,97.26333333333332,,0.0006282080334836024,0.018902046026819427,0.016414441476937224,0.36774085078127033
9,9.0,0.001,0.04990466666666666,0.087273,98.45388866666667,97.58999999999999,,0.00022708221712263883,0.007698735220800876,0.030015434301928715,0.10440306508910516
10,10.0,0.001,0.04767966666666667,0.09245300000000001,98.55666666666667,97.49666666666667,,0.0005750046376624596,0.018858842276237422,0.03086676566038228,0.3797806384392622
11,11.0,0.001,0.048494333333333334,0.10224266666666666,98.53055533333333,97.41000000000001,,0.0016105441109554685,0.008477066139492678,0.0507263373045329,0.13076696830622517
