,Epoch,Learning Rate,Train Loss,Valid Loss,Train Acc.,Valid Acc.,Unnamed: 6,Train Loss Std,Valid Loss Std,Train Acc. Std,Valid Acc. Std
0,0.0,0.001,0.44120899999999996,0.2992763333333333,87.586111,91.50666666666666,,0.004527126682565879,0.0013013609542833668,0.2105041281376714,0.15044378795196225
1,1.0,0.001,0.29994666666666664,0.278608,91.46055533333333,92.12,,0.000805779332902818,0.00040881658479077684,0.09581991596913779,0.20223748416156562
2,2.0,0.001,0.2842173333333333,0.27901166666666666,91.96222233333333,91.98333333333333,,0.00023555112679275102,0.002885482686368673,0.044169391951138226,0.17243356208503557
3,3.0,0.001,0.2764796666666667,0.2714636666666667,92.25055533333334,92.48666666666666,,0.0005078290394742553,0.0017626759013878055,0.026579903994062782,0.03214550253664342
4,4.0,0.001,0.2710236666666666,0.27029333333333333,92.40499999999999,92.36,,0.0005982552409576708,0.002738112549427675,0.03562918591548197,0.1473091986265586
5,5.0,0.001,0.267273,0.274834,92.53555566666667,92.05666666666667,,0.00042899067588933134,0.0026654682515460525,0.0034691764632736556,0.18502252115170076
6,6.0,0.001,0.2640303333333333,0.2702906666666666,92.59666666666668,92.51666666666665,,0.0003948370972101542,0.002933309109748485,0.038979766832715604,0.11930353445448763
7,7.0,0.001,0.2621683333333333,0.2694183333333333,92.66888866666666,92.47666666666667,,0.0003740445606252565,0.0027689034532343932,0.03465431136717631,0.09609023536932987
8,8.0,0.001,0.25992766666666667,0.27602033333333337,92.777222,92.27333333333333,,0.00012816135663034543,0.0015355827341219327,0.02775541321976341,0.18009256878986765
9,9.0,0.001,0.25806733333333337,0.27068200000000003,92.82444433333335,92.39,,0.0006107293454005369,0.004170358737566827,0.07401834357328745,0.16462077633154118
10,10.0,0.001,0.25707233333333335,0.2725676666666667,92.85333333333334,92.46999999999998,,0.00015628606250505064,0.006445391945671991,0.03609421314190834,0.12165525060596473
11,11.0,0.001,0.25564433333333336,0.2715326666666667,92.918889,92.40666666666665,,0.0006798972961656215,0.0032804855331693326,0.03909869515725743,0.2458319208998967
12,12.0,0.001,0.2542326666666667,0.2757966666666667,92.943889,92.3,,0.0004942694946416751,0.004015223696549595,0.03591436832245365,0.16093476939431015
13,13.0,0.001,0.253319,0.2736706666666667,92.94555566666666,92.40333333333332,,0.00024941531628991137,0.006060413957258485,0.047560752573244026,0.37541088600802813
14,14.0,0.001,0.25292966666666666,0.2712856666666667,92.95055566666667,92.46666666666665,,0.0006387748690527507,0.0041645619617594,0.08317187803779193,0.13279056191361624
15,15.0,0.001,0.2516063333333333,0.27163333333333334,93.003333,92.68,,0.00018616748731541227,0.0019930003345040924,0.022912878474772316,0.11532562594670967
16,16.0,0.001,0.2508333333333333,0.27254633333333333,93.05666666666667,92.42666666666668,,0.00030901510211205313,0.002668183339527727,0.017400782233374656,0.2720906711618957
17,17.0,0.001,0.24963633333333335,0.275363,93.06722200000002,92.43,,0.0005216093685252668,0.003700958254290355,0.030746917943105936,0.11999999999999744
18,18.0,0.001,0.24960666666666664,0.27485533333333334,93.04111133333333,92.50666666666667,,0.00024277630307205546,0.0038355039216944175,0.027097071729860298,0.16502525059315334
19,19.0,0.001,0.24888866666666667,0.27254566666666663,93.06833333333333,92.55,,0.00014636370223977847,0.0029272964204762712,0.021666961539027627,0.14933184523068202
20,20.0,0.001,0.24787100000000004,0.27203700000000003,93.11666666666666,92.52,,0.00037558088343259854,0.0016942558838616833,0.04969373423615179,0.09848857801796021
21,21.0,0.001,0.2472143333333333,0.2744916666666667,93.14333333333333,92.39666666666666,,0.0005771952298255373,0.003107592691028429,0.02743678593300089,0.14047538337137022
22,22.0,0.001,0.247386,0.2804356666666667,93.10999966666668,92.38666666666667,,0.00031701261804539197,0.0017237941679137015,0.015275252316519529,0.056862407030772784
23,23.0,0.001,0.24674833333333335,0.272836,93.152222,92.43666666666665,,0.0005887761317625957,0.0018007834406168846,0.041376961742015814,0.07571877794400485
24,24.0,0.001,0.24620699999999998,0.2730903333333334,93.13388900000001,92.54666666666667,,0.0004265712132809643,0.0016253923628876217,0.03838153008935506,0.15567059238446887
25,25.0,0.001,0.24582533333333334,0.2729526666666667,93.15500033333335,92.52333333333335,,0.0006057634301716659,0.004033647770112491,0.053928965624541414,0.142945210949279
26,26.0,0.001,0.24511133333333335,0.273689,93.15944433333333,92.51666666666667,,0.00023604519341290027,0.001534764151262333,0.056576906033586165,0.10263202878893296
27,27.0,0.001,0.24509533333333336,0.278294,93.18499999999999,92.17666666666666,,0.000356267221805947,0.0048830548839839845,0.05044272880207717,0.2939954648176329
28,28.0,0.001,0.24489866666666668,0.277183,93.128333,92.44666666666666,,0.0001991013142431165,0.004928767290104086,0.050744457825458354,0.04932882862316323
29,29.0,0.001,0.2440746666666667,0.27445866666666663,93.213889,92.64,,0.0001236540874105436,0.003779200753245779,0.01931739765082563,0.1928730152198583
30,30.0,0.001,0.24428533333333333,0.27687733333333336,93.17833333333333,92.43666666666667,,0.0003259084738593602,0.0034755978382622703,0.04512302319584844,0.09609023536933627
31,31.0,0.001,0.24351199999999998,0.2787833333333333,93.185,92.40666666666668,,0.0006221350335739155,0.007127816659632404,0.07166658139606964,0.16653327995729275
32,32.0,0.001,0.24369200000000002,0.28326066666666666,93.185,92.15666666666668,,0.00033270407271327867,0.005517266926054382,0.011666357143511427,0.20108041509140936
33,33.0,0.001,0.242968,0.27990566666666666,93.21499999999999,92.43666666666667,,0.0005387940237233399,0.0050248997336597104,0.024209582586233545,0.19399312702601593
34,34.0,0.001,0.242691,0.277904,93.26166666666666,92.35000000000001,,7.954244150138705e-05,0.007918966283549862,0.06339875568441744,0.338082830087544
35,35.0,0.001,0.24243733333333337,0.27604066666666666,93.21888866666666,92.51666666666667,,0.00027862579445077926,0.001541500027029935,0.0428282768312368,0.10066445913694495
36,36.0,0.001,0.2421036666666667,0.274785,93.212222,92.54333333333334,,0.0007338121921400271,0.0028870020782812062,0.05747767360461828,0.11503622617824413
37,37.0,0.001,0.2419083333333333,0.279204,93.23888900000001,92.42666666666668,,0.0005009763800153836,0.005579542006294085,0.015122763074248147,0.23629078131263304
38,38.0,0.001,0.24219366666666664,0.2801996666666667,93.19277766666669,92.33,,0.00023277743304137837,0.005997738351523295,0.025018496863992486,0.3351119216023218
39,39.0,0.001,0.2413193333333333,0.2836136666666667,93.27222233333333,92.27,,0.0006429030512708242,0.0073682631150993345,0.052607938425040225,0.26664583251946977
40,40.0,0.001,0.24122833333333335,0.280963,93.27111133333334,92.38333333333333,,0.0002897055976906938,0.0039530242852783,0.04184389198357602,0.13051181300301223
