,Epoch,Learning Rate,Train Loss,Valid Loss,Train Acc.,Valid Acc.,Unnamed: 6,Train Loss Std,Valid Loss Std,Train Acc. Std,Valid Acc. Std
0,0.0,0.001,0.23962000000000003,0.1392243333333333,92.77055566666667,95.76333333333334,,0.003720564876467027,0.0032360032962488352,0.1458912995909389,0.12423096769055947
1,1.0,0.001,0.11706566666666667,0.10150366666666667,96.561111,96.77333333333333,,0.0023816427803794054,0.003263900938039216,0.09141417752187633,0.1674315780649951
2,2.0,0.001,0.084069,0.08907933333333333,97.543889,97.12666666666667,,0.002082947190881228,0.0015828677561102015,0.08783411553604381,0.07505553499465409
3,3.0,0.001,0.06557400000000001,0.07669166666666667,98.086111,97.62,,0.0005558677900364437,0.003920847017333546,0.029360568165489292,0.1417744687875781
4,4.0,0.001,0.052486,0.070759,98.49000000000001,97.8,,0.0030768496875863156,0.0024949855711005665,0.10105032849526181,0.16522711641858115
5,5.0,0.001,0.04311433333333333,0.067126,98.79055566666666,97.92666666666666,,0.001527113071561282,0.0009225231704407223,0.08416787567910027,0.041633319989322334
6,6.0,0.001,0.036075,0.06615766666666667,99.045,97.95666666666666,,0.0014551962067020387,0.0033944531714745025,0.054185735106200644,0.11846237095944895
7,7.0,0.001,0.030626666666666663,0.062244999999999995,99.23166666666668,98.08,,0.0010942898762820287,0.002680162868185441,0.026822326937334332,0.0854400374531766
8,8.0,0.001,0.026414999999999998,0.059556,99.37333333333333,98.17666666666666,,0.0016163118510980493,0.003170485294083547,0.05456924245702376,0.09451631252505491
9,9.0,0.001,0.02208866666666667,0.06171133333333333,99.51444433333332,98.03666666666668,,0.001185228388680146,0.003656533102999798,0.04537924962285826,0.09609023536932987
10,10.0,0.001,0.01911533333333333,0.05721266666666666,99.628889,98.17333333333333,,0.0005841526626947233,0.0023682525906949543,0.017976703034760344,0.08504900548115472
